Region;Year;Industry;Professional position;Total ;Women;Men;Gender Pay Gap
Lake Geneva;2018;Mining and quarrying;Total ;6 314;*;6 306;#WERT!
Lake Geneva;2018;Manufacturing/production of Goods;Total ;6 683;5 992;6 930; 938
Lake Geneva;2018;"Water supply; sewage and waste disposal";Total ;5 572;5 572;5 600; 28
Lake Geneva;2018;Construction ;Total ;6 066;6 500;6 030;- 470
Lake Geneva;2018;SECTOR 3 SERVICES ;Total ;6 080;5 847;6 307; 460
Lake Geneva;2018;"Wholesale and retail trade; repair of motor vehicles and motorcycles";Total ;5 818;5 302;6 233; 931
Lake Geneva;2018;Transportation and storage;Total ;5 633;5 700;5 625;- 75
Lake Geneva;2018;Hotels and restaurants;Total ;4 337;4 222;4 483; 261
Lake Geneva;2018;Information and communication;Total ;8 262;7 042;8 660;1 618
Lake Geneva;2018;Financial and insurance services;Total ;9 878;8 158;11 300;3 142
Lake Geneva;2018;Professional, scientific and technical services;Total ;8 054;7 160;8 917;1 757
Lake Geneva;2018;Other business services;Total ;5 104;4 858;5 175; 317
Lake Geneva;2018;Health and social work;Total ;6 084;5 943;6 636; 693
Lake Geneva;2018;Arts, entertainment and recreation;Total ;7 017;6 932;7 109; 177
Lake Geneva;2018;Other service activities Other service activities;Total ;6 623;6 060;7 396;1 336
Lake Geneva;2018;TOTAL;Top, upper,  middle management;10 700;8 984;11 505;2 521
Lake Geneva;2018;SECTOR 2 PRODUCTION;Top, upper,  middle management;9 397;7 664;10 074;2 410
Lake Geneva;2018;Mining and quarrying;Top, upper,  middle management;*;*;*;#WERT!
Lake Geneva;2018;Manufacturing/production of Goods;Top, upper,  middle management;10 870;9 277;11 124;1 847
Lake Geneva;2018;"Water supply; sewage and waste disposal";Top, upper,  middle management;9 444;*;*;#WERT!
Lake Geneva;2018;Construction ;Top, upper,  middle management;7 916;*;8 284;#WERT!
Lake Geneva;2018;SECTOR 3 SERVICES ;Top, upper,  middle management;11 033;9 440;11 957;2 517
Lake Geneva;2018;"Wholesale and retail trade; repair of motor vehicles and motorcycles";Top, upper,  middle management;10 872;10 409;11 269; 860
Lake Geneva;2018;Transportation and storage;Top, upper,  middle management;9 658;*;9 741;#WERT!
Lake Geneva;2018;Hotels and restaurants;Top, upper,  middle management;5 647;4 983;6 190;1 207
Lake Geneva;2018;Information and communication;Top, upper,  middle management;11 267;10 094;11 600;1 506
Lake Geneva;2018;Financial and insurance services;Top, upper,  middle management;17 233;14 167;18 232;4 065
Lake Geneva;2018;Professional, scientific and technical services;Top, upper,  middle management;12 607;9 947;13 255;3 308
Lake Geneva;2018;Other business services;Top, upper,  middle management;9 092;8 017;9 833;1 816
Lake Geneva;2018;Health and social work;Top, upper,  middle management;9 658;9 060;10 448;1 388
Lake Geneva;2018;Arts, entertainment and recreation;Top, upper,  middle management;8 904;8 000;9 708;1 708
Lake Geneva;2018;Other service activities Other service activities;Top, upper,  middle management;9 575;8 731;10 098;1 367
Lake Geneva;2018;TOTAL;Lower management;9 070;8 522;9 401; 879
Lake Geneva;2018;SECTOR 2 PRODUCTION;Lower management;8 810;8 922;8 776;- 146
Lake Geneva;2018;Mining and quarrying;Lower management;*;*;*;#WERT!
Lake Geneva;2018;Manufacturing/production of Goods;Lower management;9 753;10 220;9 670;- 550
Lake Geneva;2018;"Water supply; sewage and waste disposal";Lower management;*;*;*;#WERT!
Lake Geneva;2018;Construction ;Lower management;6 953;6 122;7 056; 934
Lake Geneva;2018;SECTOR 3 SERVICES ;Lower management;9 158;8 490;9 620;1 130
Lake Geneva;2018;"Wholesale and retail trade; repair of motor vehicles and motorcycles";Lower management;9 582;8 602;10 429;1 827
Lake Geneva;2018;Transportation and storage;Lower management;8 202;*;8 287;#WERT!
