Region;Year;Industry;Professional position;Total ;Women;Men;Gender Pay Gap
East;2020;Hotels and restaurants;No management;4 235;4 177;4 335; 158
East;2020;Information and communication;No management;7 154;6 199;7 682;1 483
East;2020;Financial and insurance services;No management;6 619;6 428;7 033; 605
East;2020;Professional, scientific and technical services;No management;6 288;5 844;6 678; 834
East;2020;Other business services;No management;4 711;4 282;5 032; 750
East;2020;Health and social work;No management;5 690;5 617;6 116; 499
East;2020;Arts, entertainment and recreation;No management;4 847;4 767;4 948; 181
East;2020;Other service activities Other service activities;No management;5 244;4 879;6 376;1 497
East;2018;TOTAL;Total ;5 901;5 216;6 221;1 005
East;2018;SECTOR 2 PRODUCTION;Total ;6 062;5 092;6 261;1 169
East;2018;Mining and quarrying;Total ;6 163;*;6 163;#WERT!
East;2018;Manufacturing/production of Goods;Total ;6 168;5 010;6 487;1 477
East;2018;"Water supply; sewage and waste disposal";Total ;5 679;*;5 709;#WERT!
East;2018;Construction ;Total ;5 884;5 422;5 897; 475
East;2018;SECTOR 3 SERVICES ;Total ;5 721;5 262;6 175; 913
East;2018;"Wholesale and retail trade; repair of motor vehicles and motorcycles";Total ;5 416;4 785;5 988;1 203
East;2018;Transportation and storage;Total ;5 561;5 264;5 631; 367
East;2018;Hotels and restaurants;Total ;4 455;4 339;4 641; 302
East;2018;Information and communication;Total ;7 508;6 285;7 996;1 711
East;2018;Financial and insurance services;Total ;8 163;6 654;9 858;3 204
East;2018;Professional, scientific and technical services;Total ;7 195;6 164;8 055;1 891
East;2018;Other business services;Total ;5 071;4 415;5 341; 926
East;2018;Health and social work;Total ;6 231;5 936;7 030;1 094
East;2018;Arts, entertainment and recreation;Total ;5 055;4 875;5 177; 302
East;2018;Other service activities Other service activities;Total ;6 000;5 179;7 193;2 014
East;2018;TOTAL;Top, upper,  middle management;8 463;6 892;9 110;2 218
East;2018;SECTOR 2 PRODUCTION;Top, upper,  middle management;8 679;7 193;8 873;1 680
East;2018;Mining and quarrying;Top, upper,  middle management;*;*;*;#WERT!
East;2018;Manufacturing/production of Goods;Top, upper,  middle management;9 372;7 355;9 638;2 283
East;2018;"Water supply; sewage and waste disposal";Top, upper,  middle management;*;*;*;#WERT!
East;2018;Construction ;Top, upper,  middle management;8 048;*;8 125;#WERT!
East;2018;SECTOR 3 SERVICES ;Top, upper,  middle management;8 333;6 847;9 259;2 412
East;2018;"Wholesale and retail trade; repair of motor vehicles and motorcycles";Top, upper,  middle management;7 714;6 100;8 487;2 387
East;2018;Transportation and storage;Top, upper,  middle management;8 088;*;8 125;#WERT!
East;2018;Hotels and restaurants;Top, upper,  middle management;5 570;5 326;5 910; 584
East;2018;Information and communication;Top, upper,  middle management;10 704;8 663;11 144;2 481
East;2018;Financial and insurance services;Top, upper,  middle management;13 770;9 090;14 103;5 013
East;2018;Professional, scientific and technical services;Top, upper,  middle management;10 303;7 583;10 894;3 311
East;2018;Other business services;Top, upper,  middle management;6 655;5 352;7 207;1 855
East;2018;Health and social work;Top, upper,  middle management;9 091;8 198;10 130;1 932
East;2018;Arts, entertainment and recreation;Top, upper,  middle management;6 912;6 714;7 031; 317
East;2018;Other service activities Other service activities;Top, upper,  middle management;8 570;7 446;9 278;1 832
East;2018;TOTAL;Lower management;7 283;6 367;7 738;1 371
East;2018;SECTOR 2 PRODUCTION;Lower management;7 309;6 330;7 517;1 187
East;2018;Mining and quarrying;Lower management;*;*;*;#WERT!
East;2018;Manufacturing/production of Goods;Lower management;7 782;6 906;8 026;1 120
East;2018;"Water supply; sewage and waste disposal";Lower management;*;*;*;#WERT!
East;2018;Construction ;Lower management;6 585;*;6 665;#WERT!
East;2018;SECTOR 3 SERVICES ;Lower management;7 248;6 399;7 931;1 532
East;2018;"Wholesale and retail trade; repair of motor vehicles and motorcycles";Lower management;7 351;5 674;7 907;2 233
East;2018;Transportation and storage;Lower management;7 452;*;7 514;#WERT!
East;2018;Hotels and restaurants;Lower management;4 967;4 782;5 238; 456
East;2018;Information and communication;Lower management;9 170;*;9 639;#WERT!
East;2018;Financial and insurance services;Lower management;10 992;9 778;11 316;1 538
East;2018;Professional, scientific and technical services;Lower management;7 943;7 000;8 423;1 423
East;2018;Other business services;Lower management;5 881;5 198;6 141; 943
East;2018;Health and social work;Lower management;7 190;7 014;7 498; 484
East;2018;Arts, entertainment and recreation;Lower management;6 592;*;*;#WERT!
East;2018;Other service activities Other service activities;Lower management;6 944;6 469;8 098;1 629
East;2018;TOTAL;Lowest management;6 438;5 795;6 684; 889
East;2018;SECTOR 2 PRODUCTION;Lowest management;6 655;6 342;6 684; 342
East;2018;Mining and quarrying;Lowest management;*;*;*;#WERT!
East;2018;Manufacturing/production of Goods;Lowest management;6 868;5 929;7 035;1 106
East;2018;"Water supply; sewage and waste disposal";Lowest management;*;*;*;#WERT!
East;2018;Construction ;Lowest management;6 438;*;6 438;#WERT!
East;2018;SECTOR 3 SERVICES ;Lowest management;6 190;5 686;6 665; 979
East;2018;"Wholesale and retail trade; repair of motor vehicles and motorcycles";Lowest management;6 096;5 565;6 439; 874
East;2018;Transportation and storage;Lowest management;6 381;*;6 571;#WERT!
East;2018;Hotels and restaurants;Lowest management;4 746;4 600;4 944; 344
East;2018;Information and communication;Lowest management;9 240;*;9 630;#WERT!
East;2018;Financial and insurance services;Lowest management;8 779;7 937;9 281;1 344
East;2018;Professional, scientific and technical services;Lowest management;6 904;5 967;7 545;1 578
East;2018;Other business services;Lowest management;5 742;*;5 846;#WERT!
East;2018;Health and social work;Lowest management;6 257;6 066;6 665; 599
East;2018;Arts, entertainment and recreation;Lowest management;5 314;*;*;#WERT!
East;2018;Other service activities Other service activities;Lowest management;5 617;5 270;6 362;1 092
East;2018;TOTAL;No management;5 520;4 975;5 765; 790
East;2018;SECTOR 2 PRODUCTION;No management;5 742;4 917;5 918;1 001
East;2018;Mining and quarrying;No management;5 918;*;5 874;#WERT!
East;2018;Manufacturing/production of Goods;No management;5 798;4 886;6 097;1 211
East;2018;"Water supply; sewage and waste disposal";No management;5 486;*;5 520;#WERT!
East;2018;Construction ;No management;5 676;5 158;5 703; 545
East;2018;SECTOR 3 SERVICES ;No management;5 250;5 012;5 469; 457
East;2018;"Wholesale and retail trade; repair of motor vehicles and motorcycles";No management;5 006;4 642;5 418; 776
East;2018;Transportation and storage;No management;5 304;5 105;5 344; 239
East;2018;Hotels and restaurants;No management;4 244;4 192;4 316; 124
East;2018;Information and communication;No management;6 912;5 971;7 377;1 406
East;2018;Financial and insurance services;No management;6 358;6 173;6 745; 572
East;2018;Professional, scientific and technical services;No management;6 198;5 783;6 634; 851
East;2018;Other business services;No management;4 919;4 276;5 188; 912
East;2018;Health and social work;No management;5 782;5 676;6 262; 586
East;2018;Arts, entertainment and recreation;No management;4 644;4 603;4 687; 84
East;2018;Other service activities Other service activities;No management;4 935;4 635;5 802;1 167
East;2016;TOTAL;Total ;5 886  ;5 164  ;6 183  ;1 019
East;2016;SECTOR 2 PRODUCTION;Total ;6 042  ;5 099  ;6 190  ;1 091
East;2016;Mining and quarrying;Total ;6 028  ;*;5 949  ;#WERT!
East;2016;Manufacturing/production of Goods;Total ;6 096  ;4 990  ;6 390  ;1 400
East;2016;"Water supply; sewage and waste disposal";Total ;5 649  ;*;5 649  ;#WERT!
East;2016;Construction ;Total ;5 937  ;5 946  ;5 937  ;- 9
East;2016;SECTOR 3 SERVICES ;Total ;5 705  ;5 188  ;6 157  ; 969
East;2016;"Wholesale and retail trade; repair of motor vehicles and motorcycles";Total ;5 388  ;4 789  ;6 038  ;1 249
East;2016;Transportation and storage;Total ;5 545  ;5 001  ;5 614  ; 613
East;2016;Hotels and restaurants;Total ;4 321  ;4 240  ;4 463  ; 223
East;2016;Information and communication;Total ;7 549  ;6 140  ;8 067  ;1 927
East;2016;Financial and insurance services;Total ;7 959  ;6 689  ;9 718  ;3 029
East;2016;Professional, scientific and technical services;Total ;6 914  ;5 988  ;7 704  ;1 716
East;2016;Other business services;Total ;5 148  ;4 410  ;5 443  ;1 033
East;2016;Health and social work;Total ;6 113  ;5 895  ;6 977  ;1 082
East;2016;Arts, entertainment and recreation;Total ;5 413  ;4 992  ;5 730  ; 738
East;2016;Other service activities Other service activities;Total ;5 679  ;4 960  ;7 424  ;2 464
East;2016;TOTAL;Top, upper,  middle management;8 650  ;7 148  ;9 206  ;2 058
East;2016;SECTOR 2 PRODUCTION;Top, upper,  middle management;8 863  ;7 375 ;9 060  ;#WERT!
East;2016;Mining and quarrying;Top, upper,  middle management;*;*;*;#WERT!
East;2016;Manufacturing/production of Goods;Top, upper,  middle management;9 341  ;8 127  ;9 628  ;1 501
East;2016;"Water supply; sewage and waste disposal";Top, upper,  middle management;*;*;*;#WERT!
East;2016;Construction ;Top, upper,  middle management;7 914  ;*;8 082  ;#WERT!
East;2016;SECTOR 3 SERVICES ;Top, upper,  middle management;8 492  ;7 047  ;9 316  ;2 269
East;2016;"Wholesale and retail trade; repair of motor vehicles and motorcycles";Top, upper,  middle management;7 936  ;6 545  ;8 845  ;2 300
East;2016;Transportation and storage;Top, upper,  middle management;8 276  ;*;8 461  ;#WERT!
East;2016;Hotels and restaurants;Top, upper,  middle management;5 863  ;5 501  ;6 065 ;#WERT!
East;2016;Information and communication;Top, upper,  middle management;10 705  ;9 040 ;10 779  ;#WERT!
East;2016;Financial and insurance services;Top, upper,  middle management;14 166  ;11 402 ;14 397  ;#WERT!
East;2016;Professional, scientific and technical services;Top, upper,  middle management;9 722  ;7 688  ;10 176  ;2 488
East;2016;Other business services;Top, upper,  middle management;7 297  ;6 652 ;7 378  ;#WERT!
East;2016;Health and social work;Top, upper,  middle management;8 539  ;7 816  ;9 416 ;#WERT!
East;2016;Arts, entertainment and recreation;Top, upper,  middle management;7 250 ;*;8 000 ;#WERT!
East;2016;Other service activities Other service activities;Top, upper,  middle management;8 000  ;6 824 ;8 842  ;#WERT!
East;2016;TOTAL;Lower management;7 212  ;6 222  ;7 520  ;1 298
East;2016;SECTOR 2 PRODUCTION;Lower management;7 327  ;6 580  ;7 444  ; 864
East;2016;Mining and quarrying;Lower management;*;*;*;#WERT!
East;2016;Manufacturing/production of Goods;Lower management;7 553  ;6 511  ;7 791  ;1 280
East;2016;"Water supply; sewage and waste disposal";Lower management;*;*;*;#WERT!
East;2016;Construction ;Lower management;6 962  ;*;6 994  ;#WERT!
East;2016;SECTOR 3 SERVICES ;Lower management;7 070  ;6 190  ;7 763  ;1 573
East;2016;"Wholesale and retail trade; repair of motor vehicles and motorcycles";Lower management;6 869  ;5 497 ;7 529  ;#WERT!
East;2016;Transportation and storage;Lower management;7 368  ;6 240 ;7 557  ;#WERT!
East;2016;Hotels and restaurants;Lower management;4 796  ;4 679 ;5 158 ;#WERT!
East;2016;Information and communication;Lower management;8 404  ;*;8 768  ;#WERT!
East;2016;Financial and insurance services;Lower management;10 428  ;9 098 ;10 767  ;#WERT!
East;2016;Professional, scientific and technical services;Lower management;7 441  ;6 320 ;8 137  ;#WERT!
East;2016;Other business services;Lower management;6 063  ;*;6 218  ;#WERT!
East;2016;Health and social work;Lower management;6 554  ;6 411  ;7 237  ; 826
East;2016;Arts, entertainment and recreation;Lower management;*;*;*;#WERT!
East;2016;Other service activities Other service activities;Lower management;7 424 ;6 265 ;7 970  ;#WERT!
East;2016;TOTAL;Lowest management;6 221  ;5 330  ;6 593  ;1 263
East;2016;SECTOR 2 PRODUCTION;Lowest management;6 450  ;5 551  ;6 551  ;1 000
East;2016;Mining and quarrying;Lowest management;*;*;*;#WERT!
East;2016;Manufacturing/production of Goods;Lowest management;6 452  ;5 337  ;6 626  ;1 289
East;2016;"Water supply; sewage and waste disposal";Lowest management;*;*;*;#WERT!
East;2016;Construction ;Lowest management;6 444  ;*;6 424  ;#WERT!
East;2016;SECTOR 3 SERVICES ;Lowest management;5 966  ;5 284  ;6 653  ;1 369
East;2016;"Wholesale and retail trade; repair of motor vehicles and motorcycles";Lowest management;5 673  ;4 987 ;6 305  ;#WERT!
East;2016;Transportation and storage;Lowest management;6 471  ;5 600 ;6 750  ;#WERT!
East;2016;Hotels and restaurants;Lowest management;4 775  ;*;4 971  ;#WERT!
East;2016;Information and communication;Lowest management;8 252 ;*;9 116 ;#WERT!
East;2016;Financial and insurance services;Lowest management;8 898  ;8 120  ;9 377  ;1 257
East;2016;Professional, scientific and technical services;Lowest management;6 673 ;5 725 ;7 800 ;#WERT!
East;2016;Other business services;Lowest management;5 511 ;*;5 564 ;#WERT!
East;2016;Health and social work;Lowest management;5 880  ;5 595  ;6 746  ;1 151
East;2016;Arts, entertainment and recreation;Lowest management;*;*;*;#WERT!
East;2016;Other service activities Other service activities;Lowest management;6 000 ;5 158 ;*;#WERT!
East;2016;TOTAL;No management;5 482  ;4 924  ;5 725  ; 801
East;2016;SECTOR 2 PRODUCTION;No management;5 698  ;4 884  ;5 860  ; 976
East;2016;Mining and quarrying;No management;5 814  ;*;5 695  ;#WERT!
East;2016;Manufacturing/production of Goods;No management;5 732  ;4 816  ;5 994  ;1 178
East;2016;"Water supply; sewage and waste disposal";No management;5 284  ;*;5 295  ;#WERT!
East;2016;Construction ;No management;5 624  ;5 361  ;5 629  ; 268
East;2016;SECTOR 3 SERVICES ;No management;5 225  ;4 944  ;5 505  ; 561
East;2016;"Wholesale and retail trade; repair of motor vehicles and motorcycles";No management;4 984  ;4 651  ;5 475  ; 824
East;2016;Transportation and storage;No management;5 390  ;4 885  ;5 471  ; 586
East;2016;Hotels and restaurants;No management;4 105  ;4 091  ;4 147  ; 56
East;2016;Information and communication;No management;6 819  ;5 730  ;7 331  ;1 601
East;2016;Financial and insurance services;No management;6 293  ;6 208  ;6 542  ; 334
East;2016;Professional, scientific and technical services;No management;5 973  ;5 708  ;6 229  ; 521
East;2016;Other business services;No management;4 894  ;4 141  ;5 178  ;1 037
East;2016;Health and social work;No management;5 806  ;5 678  ;6 333  ; 655
East;2016;Arts, entertainment and recreation;No management;4 854  ;4 750  ;5 030 ;#WERT!
East;2016;Other service activities Other service activities;No management;4 830  ;4 424  ;5 677 ;#WERT!
East;2014;TOTAL;Total ;5 813  ;5 046  ;6 159  ;1 113
East;2014;SECTOR 2 PRODUCTION;Total ;5 944  ;4 876  ;6 150  ;1 274
East;2014;Mining and quarrying;Total ;6 163  ;*  ;6 205  ;#WERT!
East;2014;Manufacturing/production of Goods;Total ;5 957  ;4 797  ;6 297  ;1 500
East;2014;"Water supply; sewage and waste disposal";Total ;5 679  ;*  ;5 684  ;#WERT!
East;2014;Construction ;Total ;5 884  ;5 417  ;5 914  ; 497
East;2014;SECTOR 3 SERVICES ;Total ;5 672  ;5 122  ;6 163  ;1 041
East;2014;"Wholesale and retail trade; repair of motor vehicles and motorcycles";Total ;5 356  ;4 727  ;5 984  ;1 257
East;2014;Transportation and storage;Total ;5 337  ;4 944  ;5 420  ; 476
East;2014;Hotels and restaurants;Total ;4 372  ;4 246  ;4 564  ; 318
East;2014;Information and communication;Total ;7 366  ;5 889  ;7 789  ;1 900
East;2014;Financial and insurance services;Total ;7 803  ;6 297  ;9 603  ;3 306
East;2014;Professional, scientific and technical services;Total ;6 984  ;6 069  ;7 689  ;1 620
East;2014;Other business services;Total ;5 192  ;4 457  ;5 362  ; 905
East;2014;Health and social work;Total ;5 960  ;5 773  ;6 858  ;1 085
East;2014;Arts, entertainment and recreation;Total ;4 873  ;4 509  ;5 185  ; 676
East;2014;Other service activities Other service activities;Total ;5 837  ;4 702  ;7 901  ;3 199
East;2014;TOTAL;Top, upper,  middle management;8 313  ;6 707  ;8 871  ;2 164
East;2014;SECTOR 2 PRODUCTION;Top, upper,  middle management;8 406  ;6 872  ;8 667  ;1 795
East;2014;Mining and quarrying;Top, upper,  middle management;*  ;*  ;*  ;#WERT!
East;2014;Manufacturing/production of Goods;Top, upper,  middle management;8 932  ;7 016 ;9 286  ;#WERT!
East;2014;"Water supply; sewage and waste disposal";Top, upper,  middle management;*  ;*  ;*;#WERT!
East;2014;Construction ;Top, upper,  middle management;7 821  ;*  ;8 003  ;#WERT!
East;2014;SECTOR 3 SERVICES ;Top, upper,  middle management;8 165  ;6 627  ;8 999  ;2 372
East;2014;"Wholesale and retail trade; repair of motor vehicles and motorcycles";Top, upper,  middle management;7 170  ;5 555 ;7 715  ;#WERT!
East;2014;Transportation and storage;Top, upper,  middle management;7 647 ;*  ;7 901 ;#WERT!
East;2014;Hotels and restaurants;Top, upper,  middle management;5 609  ;5 123 ;6 087  ;#WERT!
East;2014;Information and communication;Top, upper,  middle management;10 266  ;*  ;10 317 ;#WERT!
East;2014;Financial and insurance services;Top, upper,  middle management;14 246  ;11 779  ;14 484  ;2 705
East;2014;Professional, scientific and technical services;Top, upper,  middle management;9 773  ;8 157 ;10 230  ;#WERT!
East;2014;Other business services;Top, upper,  middle management;7 843 ;*  ;7 843 ;#WERT!
East;2014;Health and social work;Top, upper,  middle management;8 954  ;7 914  ;10 523  ;2 609
East;2014;Arts, entertainment and recreation;Top, upper,  middle management;6 179 ;*  ;6 699 ;#WERT!
East;2014;Other service activities Other service activities;Top, upper,  middle management;9 176 ;6 935 ;9 284  ;#WERT!
East;2014;TOTAL;Lower management;7 183  ;6 458  ;7 504  ;1 046
East;2014;SECTOR 2 PRODUCTION;Lower management;7 222  ;6 392  ;7 353  ; 961
East;2014;Mining and quarrying;Lower management;*  ;*  ;*  ;#WERT!
East;2014;Manufacturing/production of Goods;Lower management;7 504  ;6 252  ;7 768  ;1 516
East;2014;"Water supply; sewage and waste disposal";Lower management;*;*  ;*  ;#WERT!
East;2014;Construction ;Lower management;6 787  ;*  ;6 746  ;#WERT!
East;2014;SECTOR 3 SERVICES ;Lower management;7 139  ;6 476  ;7 733  ;1 257
East;2014;"Wholesale and retail trade; repair of motor vehicles and motorcycles";Lower management;7 060  ;5 698 ;7 712  ;#WERT!
East;2014;Transportation and storage;Lower management;7 260 ;*  ;7 260 ;#WERT!
East;2014;Hotels and restaurants;Lower management;5 021  ;4 853  ;5 055  ; 202
East;2014;Information and communication;Lower management;8 017  ;*  ;8 537 ;#WERT!
East;2014;Financial and insurance services;Lower management;9 781  ;8 236  ;10 351  ;2 115
East;2014;Professional, scientific and technical services;Lower management;7 414  ;6 876  ;7 976  ;1 100
East;2014;Other business services;Lower management;6 325 ;*  ;*  ;#WERT!
East;2014;Health and social work;Lower management;7 088  ;6 839  ;7 566  ; 727
East;2014;Arts, entertainment and recreation;Lower management;*  ;*  ;*  ;#WERT!
East;2014;Other service activities Other service activities;Lower management;7 326 ;6 975 ;7 930  ;#WERT!
East;2014;TOTAL;Lowest management;6 097  ;5 442  ;6 313  ; 871
East;2014;SECTOR 2 PRODUCTION;Lowest management;6 285  ;5 262  ;6 369  ;1 107
East;2014;Mining and quarrying;Lowest management;*  ;*  ;*  ;#WERT!
East;2014;Manufacturing/production of Goods;Lowest management;6 310  ;5 200  ;6 516  ;1 316
East;2014;"Water supply; sewage and waste disposal";Lowest management;*  ;*  ;*  ;#WERT!
East;2014;Construction ;Lowest management;6 222  ;*  ;6 255  ;#WERT!
East;2014;SECTOR 3 SERVICES ;Lowest management;5 943  ;5 463  ;6 235  ; 772
East;2014;"Wholesale and retail trade; repair of motor vehicles and motorcycles";Lowest management;5 643  ;5 027 ;6 017  ;#WERT!
East;2014;Transportation and storage;Lowest management;6 190  ;*  ;6 339  ;#WERT!
East;2014;Hotels and restaurants;Lowest management;4 643  ;*  ;4 643 ;#WERT!
East;2014;Information and communication;Lowest management;7 700 ;*  ;8 044  ;#WERT!
East;2014;Financial and insurance services;Lowest management;8 846  ;7 683  ;9 359  ;1 676
East;2014;Professional, scientific and technical services;Lowest management;6 496  ;6 261 ;6 717  ;#WERT!
East;2014;Other business services;Lowest management;5 144  ;*;5 159  ;#WERT!
East;2014;Health and social work;Lowest management;6 055  ;5 955  ;6 520  ; 565
East;2014;Arts, entertainment and recreation;Lowest management;*  ;*  ;*  ;#WERT!
East;2014;Other service activities Other service activities;Lowest management;5 608 ;4 952 ;*  ;#WERT!
East;2014;TOTAL;No management;5 367  ;4 791  ;5 656  ; 865
East;2014;SECTOR 2 PRODUCTION;No management;5 571  ;4 658  ;5 773  ;1 115
East;2014;Mining and quarrying;No management;5 940  ;*  ;5 960  ;#WERT!
East;2014;Manufacturing/production of Goods;No management;5 574  ;4 632  ;5 889  ;1 257
East;2014;"Water supply; sewage and waste disposal";No management;5 425  ;*  ;5 432  ;#WERT!
East;2014;Construction ;No management;5 530  ;5 084 ;5 565  ;#WERT!
East;2014;SECTOR 3 SERVICES ;No management;5 155  ;4 842  ;5 445  ; 603
East;2014;"Wholesale and retail trade; repair of motor vehicles and motorcycles";No management;4 974  ;4 620  ;5 494  ; 874
East;2014;Transportation and storage;No management;5 098  ;4 754  ;5 186  ; 432
East;2014;Hotels and restaurants;No management;4 038  ;4 038  ;4 032  ;- 6
East;2014;Information and communication;No management;6 704  ;5 889  ;7 094  ;1 205
East;2014;Financial and insurance services;No management;6 023  ;5 786  ;6 505  ; 719
East;2014;Professional, scientific and technical services;No management;5 925  ;5 620  ;6 163  ; 543
East;2014;Other business services;No management;4 952  ;4 206  ;5 190  ; 984
East;2014;Health and social work;No management;5 541  ;5 467  ;5 831  ; 364
East;2014;Arts, entertainment and recreation;No management;4 498  ;4 354  ;4 758  ; 404
East;2014;Other service activities Other service activities;No management;4 562  ;4 173  ;6 119 ;#WERT!
East;2012;TOTAL;Total ;5 720  ;4 847  ;6 126  ;1 279
East;2012;SECTOR 2 PRODUCTION;Total ;5 958  ;4 879  ;6 146  ;1 267
East;2012;Mining and quarrying;Total ;6 095  ;*  ;6 124  ;#WERT!
East;2012;Manufacturing/production of Goods;Total ;5 965  ;4 803  ;6 271  ;1 468
East;2012;"Water supply; sewage and waste disposal";Total ;5 571  ;4 863 ;5 640  ;#WERT!
East;2012;Construction ;Total ;5 918  ;5 302  ;5 961  ; 659
East;2012;SECTOR 3 SERVICES ;Total ;5 427  ;4 833  ;6 077  ;1 244
East;2012;"Wholesale and retail trade; repair of motor vehicles and motorcycles";Total ;5 142  ;4 439  ;5 841  ;1 402
East;2012;Transportation and storage;Total ;5 327  ;5 025  ;5 384  ; 359
East;2012;Hotels and restaurants;Total ;4 141  ;4 022  ;4 381  ; 359
East;2012;Information and communication;Total ;7 137  ;5 783  ;7 733  ;1 950
East;2012;Financial and insurance services;Total ;7 858  ;6 124  ;9 774  ;3 650
East;2012;Professional, scientific and technical services;Total ;6 860  ;5 714  ;7 811  ;2 097
East;2012;Other business services;Total ;5 251  ;4 583  ;5 548  ; 965
East;2012;Health and social work;Total ;5 763  ;5 446  ;6 897  ;1 451
East;2012;Arts, entertainment and recreation;Total ;4 571  ;4 454  ;4 706  ; 252
East;2012;Other service activities Other service activities;Total ;5 012 ;4 279  ;7 321 ;#WERT!
East;2012;TOTAL;Top, upper,  middle management;8 390  ;6 190  ;9 035  ;2 845
East;2012;SECTOR 2 PRODUCTION;Top, upper,  middle management;8 925  ;6 972 ;9 106  ;#WERT!
East;2012;Mining and quarrying;Top, upper,  middle management;*  ;*  ;*  ;#WERT!
East;2012;Manufacturing/production of Goods;Top, upper,  middle management;9 255  ;7 723 ;9 512  ;#WERT!
East;2012;"Water supply; sewage and waste disposal";Top, upper,  middle management;7 970 ;*  ;8 474 ;#WERT!
East;2012;Construction ;Top, upper,  middle management;8 221  ;5 198 ;8 399  ;#WERT!
East;2012;SECTOR 3 SERVICES ;Top, upper,  middle management;7 941  ;5 958  ;8 952  ;2 994
East;2012;"Wholesale and retail trade; repair of motor vehicles and motorcycles";Top, upper,  middle management;6 912  ;5 376 ;8 000  ;#WERT!
East;2012;Transportation and storage;Top, upper,  middle management;7 445 ;*  ;7 656 ;#WERT!
East;2012;Hotels and restaurants;Top, upper,  middle management;5 159  ;4 665  ;5 778  ;1 113
East;2012;Information and communication;Top, upper,  middle management;10 279  ;7 858 ;10 771  ;#WERT!
East;2012;Financial and insurance services;Top, upper,  middle management;13 833  ;9 000 ;14 282  ;#WERT!
East;2012;Professional, scientific and technical services;Top, upper,  middle management;9 647  ;7 800 ;10 078  ;#WERT!
East;2012;Other business services;Top, upper,  middle management;7 032  ;6 055 ;7 443  ;#WERT!
East;2012;Health and social work;Top, upper,  middle management;8 637  ;7 600  ;10 157  ;2 557
East;2012;Arts, entertainment and recreation;Top, upper,  middle management;6 810 ;*  ;7 222 ;#WERT!
East;2012;Other service activities Other service activities;Top, upper,  middle management;8 223 ;6 535 ;9 193 ;#WERT!
East;2012;TOTAL;Lower management;6 922  ;5 747  ;7 338  ;1 591
East;2012;SECTOR 2 PRODUCTION;Lower management;7 137  ;6 229  ;7 317  ;1 088
East;2012;Mining and quarrying;Lower management;*  ;*  ;*  ;#WERT!
East;2012;Manufacturing/production of Goods;Lower management;7 545  ;6 290  ;7 756  ;1 466
East;2012;"Water supply; sewage and waste disposal";Lower management;*  ;*  ;*  ;#WERT!
East;2012;Construction ;Lower management;6 666  ;*  ;6 752  ;#WERT!
East;2012;SECTOR 3 SERVICES ;Lower management;6 554  ;5 574  ;7 353  ;1 779
East;2012;"Wholesale and retail trade; repair of motor vehicles and motorcycles";Lower management;6 109  ;4 837  ;6 989  ;2 152
East;2012;Transportation and storage;Lower management;6 112 ;*  ;6 717 ;#WERT!
East;2012;Hotels and restaurants;Lower management;5 001  ;4 970  ;5 007  ; 37
East;2012;Information and communication;Lower management;7 872  ;6 310  ;8 460  ;2 150
East;2012;Financial and insurance services;Lower management;10 552  ;8 823 ;10 877  ;#WERT!
East;2012;Professional, scientific and technical services;Lower management;7 681  ;6 392  ;8 309  ;1 917
East;2012;Other business services;Lower management;5 761  ;*  ;6 018  ;#WERT!
East;2012;Health and social work;Lower management;6 538  ;6 133  ;7 238  ;1 105
East;2012;Arts, entertainment and recreation;Lower management;5 159 ;*  ;*  ;#WERT!
East;2012;Other service activities Other service activities;Lower management;6 502 ;4 535 ;*  ;#WERT!
East;2012;TOTAL;Lowest management;6 085  ;5 098  ;6 433  ;1 335
East;2012;SECTOR 2 PRODUCTION;Lowest management;6 356  ;5 577  ;6 439  ; 862
East;2012;Mining and quarrying;Lowest management;*  ;*  ;*  ;#WERT!
East;2012;Manufacturing/production of Goods;Lowest management;6 467  ;5 703  ;6 591  ; 888
East;2012;"Water supply; sewage and waste disposal";Lowest management;*  ;*  ;*  ;#WERT!
East;2012;Construction ;Lowest management;6 175  ;*  ;6 208  ;#WERT!
East;2012;SECTOR 3 SERVICES ;Lowest management;5 710  ;5 025  ;6 410  ;1 385
East;2012;"Wholesale and retail trade; repair of motor vehicles and motorcycles";Lowest management;5 332  ;4 643  ;5 995  ;1 352
East;2012;Transportation and storage;Lowest management;6 029 ;*  ;6 163 ;#WERT!
East;2012;Hotels and restaurants;Lowest management;4 518  ;4 333  ;4 732  ; 399
East;2012;Information and communication;Lowest management;7 083  ;5 959  ;7 365  ;1 406
East;2012;Financial and insurance services;Lowest management;8 751  ;7 953  ;9 223  ;1 270
East;2012;Professional, scientific and technical services;Lowest management;6 797  ;6 229 ;7 219  ;#WERT!
East;2012;Other business services;Lowest management;5 025  ;4 325  ;5 573  ;1 248
East;2012;Health and social work;Lowest management;5 922  ;5 544  ;6 585  ;1 041
East;2012;Arts, entertainment and recreation;Lowest management;*  ;*  ;*  ;#WERT!
East;2012;Other service activities Other service activities;Lowest management;*  ;*  ;*  ;#WERT!
East;2012;TOTAL;No management;5 308  ;4 636  ;5 629  ; 993
East;2012;SECTOR 2 PRODUCTION;No management;5 571  ;4 682  ;5 753  ;1 071
East;2012;Mining and quarrying;No management;5 943  ;*  ;5 943  ;#WERT!
East;2012;Manufacturing/production of Goods;No management;5 559  ;4 619  ;5 839  ;1 220
