Region;Year;Nationality;Professional position;Statistics;Total;Women;Men;Gender Pay Gap
Lake Geneva;2014;Swiss;No management;1 Quantile;4 745 ;4 436 ;5 046 ; 610
Lake Geneva;2014;Swiss;No management;3 Quantile;7 124 ;6 786 ;7 388 ; 602
Lake Geneva;2014;Other;No management;Median;5 263 ;4 855 ;5 464 ; 609
Lake Geneva;2014;Other;No management;1 Quantile;4 315 ;3 997 ;4 563 ; 566
Lake Geneva;2014;Other;No management;3 Quantile;6 474 ;6 367 ;6 501 ; 134
Lake Geneva;2012;Total;Total;Median;6 190 ;5 633 ;6 531 ; 898
Lake Geneva;2012;Total;Total;1 Quantile;4 762 ;4 255 ;5 159 ; 904
Lake Geneva;2012;Total;Total;3 Quantile;8 473 ;7 583 ;9 201 ;1 618
Lake Geneva;2012;Swiss;Total;Median;6 487 ;5 760 ;7 096 ;1 336
Lake Geneva;2012;Swiss;Total;1 Quantile;4 974 ;4 422 ;5 483 ;1 061
Lake Geneva;2012;Swiss;Total;3 Quantile;8 780 ;7 573 ;9 922 ;2 349
Lake Geneva;2012;Other;Total;Median;5 911 ;5 417 ;6 101 ; 684
Lake Geneva;2012;Other;Total;1 Quantile;4 571 ;4 059 ;4 896 ; 837
Lake Geneva;2012;Other;Total;3 Quantile;8 060 ;7 600 ;8 349 ; 749
Lake Geneva;2012;Total;Top, upper,  middle management;Median;10 637 ;8 920 ;11 377 ;2 457
Lake Geneva;2012;Total;Top, upper,  middle management;1 Quantile;7 143 ;5 956 ;7 571 ;1 615
Lake Geneva;2012;Total;Top, upper,  middle management;3 Quantile;16 005 ;13 313 ;17 012 ;3 699
Lake Geneva;2012;Swiss;Top, upper,  middle management;Median;9 985 ;8 281 ;10 615 ;2 334
Lake Geneva;2012;Swiss;Top, upper,  middle management;1 Quantile;6 890 ;5 510 ;7 358 ;1 848
Lake Geneva;2012;Swiss;Top, upper,  middle management;3 Quantile;14 556 ;11 534 ;15 363 ;3 829
Lake Geneva;2012;Other;Top, upper,  middle management;Median;12 382 ;10 416 ;13 095 ;2 679
Lake Geneva;2012;Other;Top, upper,  middle management;1 Quantile;7 820 ;6 729 ;8 329 ;1 600
Lake Geneva;2012;Other;Top, upper,  middle management;3 Quantile;19 107 ;15 948 ;20 722 ;4 774
Lake Geneva;2012;Total;Lower management;Median;8 700 ;8 095 ;9 132 ;1 037
Lake Geneva;2012;Total;Lower management;1 Quantile;6 607 ;6 078 ;6 932 ; 854
Lake Geneva;2012;Total;Lower management;3 Quantile;11 306 ;10 417 ;11 852 ;1 435
Lake Geneva;2012;Swiss;Lower management;Median;8 454 ;7 750 ;8 972 ;1 222
Lake Geneva;2012;Swiss;Lower management;1 Quantile;6 583 ;5 913 ;6 978 ;1 065
Lake Geneva;2012;Swiss;Lower management;3 Quantile;10 852 ;9 925 ;11 460 ;1 535
Lake Geneva;2012;Other;Lower management;Median;9 039 ;8 629 ;9 346 ; 717
Lake Geneva;2012;Other;Lower management;1 Quantile;6 667 ;6 296 ;6 867 ; 571
Lake Geneva;2012;Other;Lower management;3 Quantile;11 875 ;11 168 ;12 350 ;1 182
Lake Geneva;2012;Total;Lowest management;Median;6 782 ;6 500 ;6 900 ; 400
Lake Geneva;2012;Total;Lowest management;1 Quantile;5 421 ;4 970 ;5 674 ; 704
Lake Geneva;2012;Total;Lowest management;3 Quantile;8 621 ;8 445 ;8 705 ; 260
Lake Geneva;2012;Swiss;Lowest management;Median;6 871 ;6 487 ;7 106 ; 619
Lake Geneva;2012;Swiss;Lowest management;1 Quantile;5 502 ;5 051 ;5 817 ; 766
Lake Geneva;2012;Swiss;Lowest management;3 Quantile;8 621 ;8 334 ;8 800 ; 466
Lake Geneva;2012;Other;Lowest management;Median;6 682 ;6 566 ;6 740 ; 174
Lake Geneva;2012;Other;Lowest management;1 Quantile;5 333 ;4 850 ;5 553 ; 703
Lake Geneva;2012;Other;Lowest management;3 Quantile;8 621 ;8 620 ;8 626 ; 6
Lake Geneva;2012;Total;No management;Median;5 517 ;5 126 ;5 746 ; 620
Lake Geneva;2012;Total;No management;1 Quantile;4 392 ;4 030 ;4 737 ; 707
Lake Geneva;2012;Total;No management;3 Quantile;6 885 ;6 583 ;7 101 ; 518
Lake Geneva;2012;Swiss;No management;Median;5 717 ;5 324 ;6 118 ; 794
Lake Geneva;2012;Swiss;No management;1 Quantile;4 548 ;4 207 ;4 973 ; 766
Lake Geneva;2012;Swiss;No management;3 Quantile;7 196 ;6 709 ;7 668 ; 959
Lake Geneva;2012;Other;No management;Median;5 344 ;4 830 ;5 542 ; 712
Lake Geneva;2012;Other;No management;1 Quantile;4 261 ;3 852 ;4 575 ; 723
Lake Geneva;2012;Other;No management;3 Quantile;6 575 ;6 390 ;6 662 ; 272
Midlands;2020;Total;Total;Median;6 217;5 690;6 535; 845
Midlands;2020;Total;Total;1 Quantile;5 124;4 719;5 450; 731
Midlands;2020;Total;Total;3 Quantile;7 812;7 025;8 386;1 361
Midlands;2020;Swiss;Total;Median;6 428;5 881;6 836; 955
Midlands;2020;Swiss;Total;1 Quantile;5 317;4 878;5 700; 822
Midlands;2020;Swiss;Total;3 Quantile;8 091;7 143;8 806;1 663
Midlands;2020;Other;Total;Median;5 669;5 029;5 931; 902
Midlands;2020;Other;Total;1 Quantile;4 684;4 301;4 988; 687
Midlands;2020;Other;Total;3 Quantile;7 003;6 429;7 247; 818
Midlands;2020;Total;Top, upper,  middle management;Median;9 228;7 849;9 652;1 803
Midlands;2020;Total;Top, upper,  middle management;1 Quantile;6 881;5 825;7 324;1 499
Midlands;2020;Total;Top, upper,  middle management;3 Quantile;12 434;10 393;12 950;2 557
Midlands;2020;Swiss;Top, upper,  middle management;Median;9 199;7 805;9 632;1 827
Midlands;2020;Swiss;Top, upper,  middle management;1 Quantile;6 943;5 841;7 369;1 528
Midlands;2020;Swiss;Top, upper,  middle management;3 Quantile;12 306;10 193;12 837;2 644
Midlands;2020;Other;Top, upper,  middle management;Median;9 410;8 252;9 750;1 498
