Year;Region;Industry;professional position category;Gross Pay Total ;Gross Pay Women ;Gross Pay Men ;Gender Pay Gap;;;;;;;;;;;
2020;Lake Geneva;Hotels and restaurants;No management;4 282;4 161;4 333; 172;;;;;;;;;;;
2020;Lake Geneva;Information and communication;No management;7 372;6 631;7 701;1 070;;;;;;;;;;;
2020;Lake Geneva;Financial and insurance services;No management;7 143;6 780;7 835;1 055;;;;;;;;;;;
2020;Lake Geneva;Professional, scientific and technical services;No management;6 679;6 480;6 909; 429;;;;;;;;;;;
2020;Lake Geneva;Other business services;No management;5 339;4 842;5 515; 673;;;;;;;;;;;
2020;Lake Geneva;Health and social work;No management;6 478;6 382;6 758; 376;;;;;;;;;;;
2020;Lake Geneva;Arts, entertainment and recreation;No management;6 284;6 411;6 196;- 215;;;;;;;;;;;
2020;Lake Geneva;Other service activities Other service activities;No management;5 475;5 000;6 197;1 197;;;;;;;;;;;
2018;Lake Geneva;TOTAL;Total ;6 600;6 442;6 720; 278;;;;;;;;;;;
2018;Lake Geneva;SECTOR 2 PRODUCTION;Total ;6 453;6 122;6 514; 392;;;;;;;;;;;
2018;Lake Geneva;Mining and quarrying;Total ;6 314;*;6 306;#WERT!;;;;;;;;;;;
2018;Lake Geneva;Manufacturing/production of Goods;Total ;6 683;5 992;6 930; 938;;;;;;;;;;;
2018;Lake Geneva;"Water supply; sewage and waste disposal";Total ;6 128;5 716;6 159; 443;;;;;;;;;;;
2018;Lake Geneva;Construction ;Total ;6 086;6 500;6 053;- 447;;;;;;;;;;;
2018;Lake Geneva;SECTOR 3 SERVICES ;Total ;6 667;6 479;6 888; 409;;;;;;;;;;;
2018;Lake Geneva;"Wholesale and retail trade; repair of motor vehicles and motorcycles";Total ;5 818;5 302;6 233; 931;;;;;;;;;;;
2018;Lake Geneva;Transportation and storage;Total ;5 887;5 850;5 900; 50;;;;;;;;;;;
2018;Lake Geneva;Hotels and restaurants;Total ;4 335;4 222;4 476; 254;;;;;;;;;;;
2018;Lake Geneva;Information and communication;Total ;8 334;7 070;8 750;1 680;;;;;;;;;;;
2018;Lake Geneva;Financial and insurance services;Total ;9 611;7 965;11 091;3 126;;;;;;;;;;;
2018;Lake Geneva;Professional, scientific and technical services;Total ;8 054;7 164;8 889;1 725;;;;;;;;;;;
2018;Lake Geneva;Other business services;Total ;5 265;4 979;5 340; 361;;;;;;;;;;;
2018;Lake Geneva;Health and social work;Total ;6 648;6 461;7 152; 691;;;;;;;;;;;
2018;Lake Geneva;Arts, entertainment and recreation;Total ;7 494;7 334;7 619; 285;;;;;;;;;;;
2018;Lake Geneva;Other service activities Other service activities;Total ;6 633;6 066;7 445;1 379;;;;;;;;;;;
2018;Lake Geneva;TOTAL;Top, upper,  middle management;11 178;9 750;11 902;2 152;;;;;;;;;;;
2018;Lake Geneva;SECTOR 2 PRODUCTION;Top, upper,  middle management;9 693;7 866;10 346;2 480;;;;;;;;;;;
2018;Lake Geneva;Mining and quarrying;Top, upper,  middle management;*;*;*;#WERT!;;;;;;;;;;;
2018;Lake Geneva;Manufacturing/production of Goods;Top, upper,  middle management;10 870;9 277;11 124;1 847;;;;;;;;;;;
2018;Lake Geneva;"Water supply; sewage and waste disposal";Top, upper,  middle management;10 682;*;10 777;#WERT!;;;;;;;;;;;
2018;Lake Geneva;Construction ;Top, upper,  middle management;7 916;*;8 284;#WERT!;;;;;;;;;;;
2018;Lake Geneva;SECTOR 3 SERVICES ;Top, upper,  middle management;11 527;10 135;12 250;2 115;;;;;;;;;;;
2018;Lake Geneva;"Wholesale and retail trade; repair of motor vehicles and motorcycles";Top, upper,  middle management;10 872;10 409;11 269; 860;;;;;;;;;;;
2018;Lake Geneva;Transportation and storage;Top, upper,  middle management;9 841;9 699;9 883; 184;;;;;;;;;;;
2018;Lake Geneva;Hotels and restaurants;Top, upper,  middle management;5 672;4 983;6 190;1 207;;;;;;;;;;;
2018;Lake Geneva;Information and communication;Top, upper,  middle management;11 305;10 147;11 607;1 460;;;;;;;;;;;
